url,error
"https://www.hemnet.se/salda/lagenhet-1,5rum-kvarnsveden-borlange-kommun-fabriksgatan-39g-7064953675223643954",No data returned
https://www.hemnet.se/salda/lagenhet-2rum-bergnaset-lulea-kommun-bergnasvagen-14b-5100398497438977780,No data returned
https://www.hemnet.se/salda/lagenhet-2rum-nybro-nybro-kommun-goljemalagatan-16e-6249642204323329709,No data returned
https://www.hemnet.se/salda/lagenhet-2rum-mariefred-strangnas-kommun-foreningsgatan-11a-5754554240804665746,No data returned
"https://www.hemnet.se/salda/lagenhet-2rum-vega-haninge-kommun-gaffelseglet-19-lgh-1506-vyn,-vaning-5-8152046174987500249",No data returned
