url,error
https://www.hemnet.se/salda/lagenhet-1rum-centrum-simrishamns-kommun-sjukhusvagen-2-3021181584301144133,No data returned
https://www.hemnet.se/salda/lagenhet-3rum-norrstaden-harnosands-kommun-brunnshusgatan-29-a-245081,No data returned
https://www.hemnet.se/salda/lagenhet-1rum-ekerum-borgholms-kommun-ekerum-stuga-111-3359931972742964915,No data returned
"https://www.hemnet.se/salda/lagenhet-1rum-ronnang-tjorns-kommun-kyrkvagen-22a,-rum-103-5387023886071304884",No data returned
https://www.hemnet.se/salda/lagenhet-1rum-johannesdal-vasterviks-kommun-johannesbergsvagen-12-139111,No data returned
