url,error
https://www.hemnet.se/salda/lagenhet-2rum-hofors-centralt-hofors-kommun-klippgatan-4a-7101755593230122797,No data returned
https://www.hemnet.se/salda/lagenhet-2rum-fagersta-fagersta-kommun-floravagen-9c-377663551754691274,No data returned
https://www.hemnet.se/salda/lagenhet-2rum-langshyttan-hedemora-kommun-storgatan-25a-1380228368127905372,No data returned
https://www.hemnet.se/salda/lagenhet-2rum-hallefors-hallefors-kommun-finnbergsvagen-17-a-8923867662295493101,No data returned
https://www.hemnet.se/salda/lagenhet-2rum-risbron-fagersta-kommun-ringvagen-12-2980091004783519465,No data returned
