url,error
https://www.hemnet.se/salda/lagenhet-3rum-raby-vasteras-kommun-ringduvegatan-13-7759247323360402867,No data returned
https://www.hemnet.se/salda/lagenhet-3rum-kungsholmen-radhuset-stockholms-kommun-kungsholmsgatan-36-8608647694042907473,No data returned
https://www.hemnet.se/salda/lagenhet-4rum-storhogna-bergs-kommun-ronnvagen-15-a-2355202325967938157,No data returned
https://www.hemnet.se/salda/lagenhet-4rum-hasselby-stockholms-kommun-radisvagen-80b-5243365158827182493,No data returned
https://www.hemnet.se/salda/lagenhet-4rum-farsta-stockholms-kommun-filipstadsbacken-50-6559979488931514976,No data returned
