url,property_id,found_at
https://www.hemnet.se/bostad/lagenhet-2rum-dammfri-malmo-kommun-kopenhamnsvagen-20b-21626379,21626379,2025-11-15T20:13:47.159243
https://www.hemnet.se/bostad/lagenhet-3rum-hollviken-vellinge-kommun-kyrkvagen-9a-21345554,21345554,2025-11-15T20:13:47.160395
https://www.hemnet.se/bostad/lagenhet-3rum-limhamn-malmo-kommun-rosengrens-gata-33-20270560,20270560,2025-11-15T20:13:47.161453
https://www.hemnet.se/bostad/lagenhet-2rum-ellstorp-malmo-kommun-ellstorpsgatan-4-o-21628341,21628341,2025-11-15T20:13:47.162466
https://www.hemnet.se/bostad/lagenhet-2rum-malmo-live-malmo-kommun-bassanggatan-3-21628745,21628745,2025-11-15T20:13:47.163469
https://www.hemnet.se/bostad/lagenhet-4rum-klagshamn-malmo-kommun-folketshusvagen-5-21628798,21628798,2025-11-15T20:13:47.164496
https://www.hemnet.se/bostad/lagenhet-2rum-pildammarna-malmo-kommun-mariedalsvagen-62b-21559325,21559325,2025-11-15T20:13:47.165575
https://www.hemnet.se/bostad/lagenhet-3rum-falsterbo-vellinge-kommun-falsterbovagen-39d-21629041,21629041,2025-11-15T20:13:47.166759
"https://www.hemnet.se/bostad/lagenhet-2,5rum-lomma-hamn-lomma-kommun-hojeagatan-81-21629200",21629200,2025-11-15T20:13:47.167862
https://www.hemnet.se/bostad/lagenhet-5rum-klostergarden-lunds-kommun-sunnanvag-18e-21643491,21643491,2025-11-15T20:13:47.168863
"https://www.hemnet.se/bostad/lagenhet-2,5rum-drottningtorget-malmo-kommun-osterportsgatan-5a-21643720",21643720,2025-11-15T20:13:47.169893
https://www.hemnet.se/bostad/lagenhet-3rum-rorsjostaden-malmo-kommun-foreningsgatan-63b-21643752,21643752,2025-11-15T20:13:47.170926
"https://www.hemnet.se/bostad/lagenhet-2,5rum-rorsjostaden-malmo-kommun-andreegatan-14-21643856",21643856,2025-11-15T20:13:47.171943
https://www.hemnet.se/bostad/lagenhet-1rum-limhamn-malmo-kommun-vasagatan-16a-21644031,21644031,2025-11-15T20:13:47.172985
https://www.hemnet.se/bostad/lagenhet-2rum-gamla-limhamn-malmo-kommun-alggatan-48c-21644079,21644079,2025-11-15T20:13:47.173977
https://www.hemnet.se/bostad/lagenhet-3rum-nydala-malmo-kommun-kollegiegatan-5e-21634280,21634280,2025-11-15T20:13:55.391064
