url,error
https://www.hemnet.se/salda/lagenhet-2rum-kungsholmen-stockholms-kommun-inedalsgatan-15-1359041,No data returned
"https://www.hemnet.se/salda/lagenhet-2rum-centrala-goteborg-goteborgs-kommun-scandinavium-n,-rad-9,-plats-4-5-637688",No data returned
https://www.hemnet.se/salda/lagenhet-1rum-johannesdal-vasterviks-kommun-johannesbergsvagen-12-139111,No data returned
https://www.hemnet.se/salda/lagenhet-3rum-norrstaden-harnosands-kommun-brunnshusgatan-29-a-245045,No data returned
https://www.hemnet.se/salda/lagenhet-1rum-bonnstan-skelleftea-kommun-bonnstadskammare-334-876034,No data returned
