url,error
https://www.hemnet.se/salda/lagenhet-1rum-bohuslan-tjorns-kommun-kyrkvagen-22-lgh-101-629459601340713267,No data returned
https://www.hemnet.se/salda/lagenhet-trandared-boras-kommun-trandaredsgatan-43a-1304383,No data returned
https://www.hemnet.se/salda/lagenhet-2rum-kungsholmen-stockholms-kommun-inedalsgatan-15-1359041,No data returned
https://www.hemnet.se/salda/lagenhet-1rum-centrum-simrishamns-kommun-sjukhusvagen-2-5435563522709365406,No data returned
"https://www.hemnet.se/salda/lagenhet-2rum-centrala-goteborg-goteborgs-kommun-scandinavium-n,-rad-9,-plats-4-5-637688",No data returned
