url,error
https://www.hemnet.se/salda/lagenhet-3rum-floby-falkopings-kommun-kopmansgatan-3d-6914525400226872627,No data returned
https://www.hemnet.se/salda/lagenhet-3rum-fagersta-fagersta-kommun-ringvagen-13-2760139725006507175,No data returned
https://www.hemnet.se/salda/lagenhet-3rum-centrala-filipstad-filipstads-kommun-hantverksgatan-20b-3102078414321185827,No data returned
https://www.hemnet.se/salda/lagenhet-3rum-johannesdal-vasterviks-kommun-lysingsvagen-7a-3054857547870002096,No data returned
https://www.hemnet.se/salda/lagenhet-3rum-marielund-haparanda-kommun-harvagen-7-h-665463338370926697,No data returned
