url,error
https://www.hemnet.se/salda/lagenhet-2rum-filipstad-filipstads-kommun-hertig-filipsgatan-9-a-7279894979649990402,No data returned
https://www.hemnet.se/salda/lagenhet-2rum-krokslatt-molndals-kommun-bergskroken-10-3284117357444470249,No data returned
https://www.hemnet.se/salda/lagenhet-2rum-ostermalm-stockholms-kommun-sibyllegatan-50a-3478647041508596220,No data returned
https://www.hemnet.se/salda/lagenhet-2rum-nyby-uppsala-kommun-munters-gata-65-9087776628434353140,No data returned
