url,error
https://www.hemnet.se/salda/lagenhet-1rum-tidaholm-tidaholms-kommun-dyckertsgatan-12-3548279463313207609,No data returned
https://www.hemnet.se/salda/lagenhet-1rum-karlberg-karlskoga-kommun-kamratstigen-2b-4740096629859574953,No data returned
https://www.hemnet.se/salda/lagenhet-1rum-tidaholm-tidaholms-kommun-dyckertsgatan-4-2199145697022416541,No data returned
https://www.hemnet.se/salda/lagenhet-1rum-tidaholm-tidaholms-kommun-dyckertsgatan-4-7860350589272789750,No data returned
https://www.hemnet.se/salda/lagenhet-1rum-centralt-tidaholms-kommun-hjalmgatan-6-6004077690045518006,No data returned
