url,error
https://www.hemnet.se/salda/lagenhet-3rum-bydalsfjallen-are-kommun-bydalens-fjallby-stuga-9-18-7861740666520016418,No data returned
https://www.hemnet.se/salda/lagenhet-1rum-fagersta-fagersta-kommun-vilhelminavagen-4a-7559381747890496875,No data returned
https://www.hemnet.se/salda/lagenhet-1rum-centrala-saffle-saffle-kommun-hamngatan-5-3380005375433792930,No data returned
https://www.hemnet.se/salda/lagenhet-1rum-filipstad-filipstads-kommun-ringvagen-7-b-4540466105571612144,No data returned
https://www.hemnet.se/salda/lagenhet-2rum-tandadalen-malung-salens-kommun-tandadalens-fjallhotell-363-7691591825492865391,No data returned
