url,error
https://www.hemnet.se/salda/lagenhet-1rum-alvenas-valberg-karlstads-kommun-cordvagen-6a-2072899312777888545,No data returned
https://www.hemnet.se/salda/lagenhet-1rum-centrala-filipstad-filipstads-kommun-finnshyttegatan-3c-604451699878605174,No data returned
https://www.hemnet.se/salda/lagenhet-1rum-fagersta-fagersta-kommun-floravagen-11g-1565320291305733760,No data returned
https://www.hemnet.se/salda/lagenhet-1rum-centralt-nybro-kommun-doktor-sandbergs-gata-11-b-3625094475538367719,No data returned
https://www.hemnet.se/salda/lagenhet-1rum-braten-park-mariestads-kommun-akaciastigen-6-4148819661075145532,No data returned
