url,error
"https://www.hemnet.se/salda/lagenhet-1,5rum-kalltorp-goteborgs-kommun-ovre-sanatoriegatan-64-2052079987765594524",No data returned
https://www.hemnet.se/salda/lagenhet-2rum-are-by-are-kommun-fronasudden-10c-7810555913096036251,No data returned
https://www.hemnet.se/salda/lagenhet-2rum-centrala-tyreso-tyreso-kommun-bollmorabacken-21-4154759215796416667,No data returned
https://www.hemnet.se/salda/lagenhet-1rum-braten-park-mariestads-kommun-valnotsstigen-15-6763519697485603384,No data returned
