url,error
https://www.hemnet.se/bostad/lagenhet-4rum-goteborgs-kommun-danska-vagen-64-21640206,No data returned
https://www.hemnet.se/bostad/lagenhet-3rum-saxnas-morbylanga-kommun-flaggrand-21568615,No data returned
https://www.hemnet.se/bostad/lagenhet-4rum-vega-haninge-kommun-vega-alle-130-19881721,No data returned
https://www.hemnet.se/bostad/lagenhet-3rum-kviberg-goteborgs-kommun-lilla-regementsvagen-47-21561570,No data returned
https://www.hemnet.se/bostad/lagenhet-2rum-sodra-ekkallan-linkopings-kommun-bataljonsgatan-22-21513347,No data returned
