url,error
https://www.hemnet.se/salda/lagenhet-1rum-skara-skara-kommun-harlundagatan-27f-4441609020692282789,No data returned
https://www.hemnet.se/salda/lagenhet-1rum-centralt-harjedalens-kommun-fogdegatan-3-4515675347647500863,No data returned
https://www.hemnet.se/salda/lagenhet-1rum-kolarbyn-fagersta-kommun-bruksvagen-1b-488900038628690759,No data returned
"https://www.hemnet.se/salda/lagenhet-1,5rum-anget-harnosands-kommun-angsvagen-24-b-8777282941819231549",No data returned
https://www.hemnet.se/salda/lagenhet-1rum-gamleby-vasterviks-kommun-slanbarsstigen-6a-7834395328369540345,No data returned
