url,error
https://www.hemnet.se/bostad/tomt-toftanas-malmo-kommun-drivhusgatan-19-21620949,No data returned
https://www.hemnet.se/bostad/tomt-havstenshult-mullsjo-kommun-gullvivegatan-10-21434451,No data returned
https://www.hemnet.se/bostad/tomt-ekhojden-vetlanda-kommun-troskvagen-19-20216895,No data returned
https://www.hemnet.se/bostad/tomt-mjovikstrand-karlskrona-kommun-mjovikstrandsvagen-14-c-20169176,No data returned
https://www.hemnet.se/bostad/tomt-lekaryd-alvesta-kommun-trollvagen-6-19899055,No data returned
https://www.hemnet.se/bostad/tomt-habo-habo-kommun-humlestigen-18-21521401,No data returned
https://www.hemnet.se/bostad/tomt-torsviken-norrkopings-kommun-korvelvagen-37-21384550,No data returned
https://www.hemnet.se/bostad/tomt-forslov-bastads-kommun-hastrafsevagen-9-20157276,No data returned
https://www.hemnet.se/bostad/tomt-tenhult-jonkopings-kommun-tradgardsvagen-5-21472033,No data returned
https://www.hemnet.se/bostad/tomt-ekhojden-vetlanda-kommun-troskvagen-17-20216776,No data returned
