iter	Passed	Remaining
0	35	35499
1	49	24690
2	59	19639
3	75	18726
4	113	22662
5	125	20848
6	136	19386
7	148	18424
8	169	18642
9	182	18096
10	210	18926
11	222	18290
12	244	18585
13	288	20287
14	361	23750
15	377	23239
16	391	22624
17	402	21984
18	426	22001
19	445	21814
20	466	21740
21	492	21882
22	508	21601
23	526	21393
24	544	21236
25	562	21083
26	579	20883
27	593	20587
28	610	20438
29	628	20322
30	641	20047
31	661	20003
32	680	19929
33	701	19923
34	719	19834
35	730	19569
36	741	19311
37	751	19036
38	761	18775
39	776	18643
40	793	18567
41	809	18467
42	820	18268
43	859	18683
44	895	19010
45	919	19064
46	943	19124
47	954	18940
48	966	18753
49	980	18624
50	990	18434
51	1003	18292
52	1015	18140
53	1045	18324
54	1058	18178
55	1068	18005
56	1081	17888
57	1097	17826
58	1116	17804
59	1133	17753
60	1157	17810
61	1185	17938
62	1211	18020
63	1238	18111
64	1260	18132
65	1284	18170
66	1294	18027
67	1304	17882
68	1315	17747
69	1325	17608
70	1335	17475
71	1345	17335
72	1367	17369
73	1379	17258
74	1393	17183
75	1406	17102
76	1416	16982
77	1427	16873
78	1442	16814
79	1458	16771
80	1471	16694
81	1488	16665
82	1508	16662
83	1528	16665
84	1550	16691
85	1567	16664
86	1580	16588
87	1593	16512
88	1604	16421
89	1614	16328
90	1627	16254
91	1637	16159
92	1647	16065
93	1659	15996
94	1679	15995
95	1690	15917
96	1701	15836
97	1711	15748
98	1722	15675
99	1762	15866
100	1831	16298
101	1866	16431
102	1879	16367
103	1904	16411
104	1920	16368
105	1933	16308
106	1945	16236
107	1956	16159
108	1969	16096
109	1980	16023
110	2017	16159
111	2029	16092
112	2046	16060
113	2064	16042
114	2080	16013
115	2099	16001
116	2117	15984
117	2133	15948
118	2148	15909
119	2162	15856
120	2172	15784
121	2183	15712
122	2193	15643
123	2205	15578
124	2216	15518
125	2227	15449
126	2237	15378
127	2249	15327
128	2261	15269
129	2274	15219
130	2343	15542
131	2363	15538
132	2383	15537
133	2403	15534
134	2417	15489
135	2429	15436
136	2441	15377
137	2452	15317
138	2465	15271
139	2478	15226
140	2490	15170
141	2500	15107
142	2515	15076
143	2536	15077
144	2546	15017
145	2557	14960
146	2570	14915
147	2591	14916
148	2602	14866
149	2615	14819
150	2626	14767
151	2637	14716
152	2653	14688
153	2669	14664
154	2684	14634
155	2697	14594
156	2709	14548
157	2721	14503
158	2733	14459
159	2744	14410
160	2759	14378
161	2799	14482
162	2811	14438
