iter	Passed	Remaining
163	2823	14394
164	2833	14339
165	2846	14302
166	2861	14272
167	2878	14257
168	2905	14288
169	2931	14310
170	2948	14293
171	2961	14257
172	2975	14224
173	2988	14188
174	3004	14165
175	3026	14169
176	3054	14201
177	3086	14253
178	3100	14221
179	3123	14228
180	3137	14197
181	3153	14171
182	3165	14132
183	3178	14093
184	3188	14047
185	3199	14003
186	3211	13963
187	3224	13928
188	3240	13907
189	3252	13866
190	3266	13836
191	3279	13800
192	3291	13762
193	3305	13733
194	3317	13694
195	3328	13654
196	3340	13616
197	3351	13573
198	3363	13538
199	3377	13510
200	3399	13514
201	3413	13483
202	3426	13452
203	3438	13418
204	3450	13380
205	3461	13341
206	3471	13299
207	3481	13256
208	3491	13214
209	3503	13180
210	3518	13155
211	3531	13127
212	3572	13199
213	3638	13362
214	3671	13407
215	3697	13421
216	3721	13426
217	3737	13408
218	3751	13379
219	3777	13391
220	3789	13357
221	3801	13321
222	3833	13357
223	3846	13324
224	3857	13286
225	3868	13249
226	3881	13216
227	3892	13179
228	3903	13140
229	3917	13114
230	3930	13085
231	3942	13051
232	3954	13018
233	3979	13026
234	4002	13027
235	4025	13030
236	4049	13035
237	4074	13043
238	4117	13111
239	4144	13123
240	4154	13084
241	4166	13050
242	4184	13034
243	4200	13014
244	4220	13007
245	4230	12966
246	4241	12930
247	4252	12893
248	4264	12861
249	4275	12826
250	4290	12801
251	4323	12834
252	4358	12869
253	4385	12880
254	4399	12852
255	4413	12827
256	4434	12820
257	4445	12783
258	4455	12746
259	4467	12714
260	4478	12680
261	4490	12650
262	4501	12615
263	4512	12580
264	4523	12546
265	4534	12511
266	4545	12478
267	4555	12443
268	4567	12412
269	4578	12379
270	4589	12345
271	4600	12312
272	4610	12278
273	4622	12247
274	4635	12221
275	4654	12209
276	4671	12193
277	4687	12173
278	4700	12147
279	4711	12116
280	4722	12084
281	4733	12050
282	4744	12021
283	4755	11990
284	4767	11960
285	4778	11929
286	4788	11896
287	4798	11862
288	4808	11830
289	4825	11813
290	4846	11809
291	4873	11815
292	4885	11788
293	4900	11766
294	4916	11748
295	4928	11722
296	4940	11695
297	4951	11664
298	4963	11635
299	4976	11612
300	4995	11601
301	5015	11593
302	5029	11569
303	5046	11554
304	5059	11529
305	5070	11499
306	5080	11467
307	5091	11438
308	5099	11404
309	5112	11378
310	5120	11344
311	5129	11311
312	5140	11282
313	5150	11251
314	5160	11221
315	5170	11191
316	5179	11160
317	5190	11132
318	5206	11114
319	5219	11090
320	5230	11063
321	5245	11045
322	5261	11028
323	5278	11013
324	5298	11005
325	5317	10994
326	5364	11039
327	5388	11040
328	5403	11020
329	5421	11006
330	5434	10983
331	5445	10955
332	5454	10926
333	5466	10899
334	5474	10867
335	5486	10843
336	5500	10822
337	5513	10799
338	5545	10813
339	5609	10889
340	5623	10868
341	5641	10853
342	5685	10890
343	5719	10906
344	5728	10875
345	5791	10947
346	5809	10932
347	5842	10946
348	5857	10925
349	5873	10907
350	5891	10893
351	5930	10918
352	5986	10972
353	6002	10953
354	6071	11031
355	6101	11038
356	6117	11018
357	6132	10996
358	6147	10977
359	6162	10955
360	6177	10934
361	6189	10909
362	6200	10880
363	6212	10853
364	6221	10824
365	6232	10796
366	6246	10774
367	6257	10746
368	6270	10722
369	6282	10697
370	6295	10673
371	6321	10671
372	6340	10657
373	6376	10672
374	6398	10664
375	6428	10668
376	6458	10672
377	6484	10670
378	6501	10653
379	6533	10659
380	6543	10631
381	6553	10602
382	6567	10579
383	6580	10556
384	6591	10528
385	6611	10517
386	6641	10519
387	6667	10517
388	6685	10500
389	6700	10479
390	6721	10469
391	6739	10452
392	6755	10434
393	6766	10408
394	6776	10378
395	6786	10350
396	6796	10322
397	6809	10299
398	6821	10274
399	6837	10255
400	6851	10234
401	6864	10211
402	6876	10187
403	6888	10162
404	6900	10138
405	6912	10113
406	6923	10088
407	6934	10062
408	6949	10042
409	6960	10016
410	6975	9996
411	6994	9982
412	7009	9963
413	7026	9945
414	7051	9939
415	7086	9948
416	7097	9922
417	7108	9897
418	7117	9869
419	7127	9842
420	7137	9815
421	7146	9788
422	7156	9761
423	7165	9734
424	7177	9710
425	7186	9683
426	7196	9657
427	7208	9633
428	7217	9607
429	7228	9582
430	7240	9558
431	7250	9532
432	7260	9507
433	7275	9488
434	7304	9487
435	7336	9489
436	7356	9478
437	7372	9460
438	7383	9434
439	7396	9413
440	7407	9389
441	7421	9369
442	7433	9345
443	7443	9320
444	7453	9296
445	7465	9273
446	7475	9248
447	7486	9223
448	7495	9197
449	7506	9174
450	7521	9155
451	7553	9157
452	7571	9142
453	7617	9161
454	7631	9141
455	7662	9141
456	7672	9116
457	7687	9097
458	7703	9079
459	7722	9065
460	7750	9061
461	7768	9046
462	7782	9026
463	7797	9006
464	7806	8981
465	7816	8957
466	7828	8935
467	7840	8912
468	7852	8890
469	7868	8872
470	7896	8868
471	7928	8869
472	7949	8856
473	7969	8843
474	7991	8832
475	8007	8814
476	8022	8796
477	8038	8778
478	8047	8753
479	8062	8734
480	8079	8718
481	8093	8698
482	8105	8675
483	8115	8652
484	8125	8627
485	8136	8604
486	8147	8582
487	8156	8557
488	8167	8534
489	8179	8513
490	8190	8490
491	8202	8468
492	8221	8454
493	8234	8435
494	8248	8414
495	8265	8398
496	8276	8376
497	8287	8354
498	8298	8331
499	8310	8310
500	8321	8288
501	8335	8268
502	8346	8247
503	8358	8225
504	8368	8202
505	8381	8182
506	8392	8160
507	8402	8137
508	8413	8115
509	8426	8096
510	8435	8072
511	8449	8053
512	8461	8032
513	8471	8009
514	8495	8000
515	8513	7985
516	8534	7973
517	8572	7976
518	8584	7955
519	8595	7934
520	8605	7912
521	8615	7889
522	8626	7867
523	8637	7846
524	8647	7823
525	8657	7801
526	8667	7779
527	8677	7757
528	8686	7734
529	8697	7712
530	8711	7694
531	8727	7677
532	8744	7661
533	8766	7650
534	8777	7628
535	8788	7607
536	8800	7587
537	8812	7567
538	8825	7548
539	8835	7526
540	8848	7507
541	8867	7493
542	8880	7473
543	8894	7455
544	8913	7441
545	8938	7432
546	8953	7414
547	8968	7397
548	8980	7377
549	9003	7366
550	9021	7351
551	9035	7332
552	9052	7317
553	9065	7298
554	9078	7279
555	9091	7259
556	9102	7239
557	9115	7220
558	9132	7205
559	9150	7189
560	9163	7170
561	9182	7156
562	9204	7144
563	9227	7133
564	9243	7116
565	9254	7095
566	9264	7074
567	9277	7056
568	9289	7036
569	9300	7015
570	9312	6996
571	9324	6977
572	9335	6957
573	9353	6941
574	9364	6921
575	9379	6904
576	9399	6890
577	9411	6871
578	9423	6851
579	9441	6836
580	9489	6843
581	9523	6839
582	9561	6839
583	9571	6818
584	9583	6798
585	9596	6780
586	9607	6759
587	9618	6739
588	9631	6720
589	9644	6702
590	9659	6684
591	9679	6670
592	9696	6655
593	9705	6633
594	9715	6613
595	9727	6593
596	9737	6573
597	9748	6553
598	9760	6533
599	9771	6514
600	9780	6493
601	9790	6472
602	9801	6452
603	9812	6433
604	9823	6413
605	9832	6392
606	9843	6372
607	9852	6352
608	9863	6332
609	9882	6318
610	9903	6305
611	9931	6296
612	9953	6283
613	9967	6266
614	9988	6252
615	10001	6234
616	10012	6215
617	10026	6197
618	10045	6182
619	10063	6168
620	10083	6154
621	10112	6145
622	10145	6139
623	10159	6121
624	10174	6104
625	10186	6085
626	10197	6066
627	10212	6049
628	10229	6033
629	10241	6014
630	10255	5997
631	10269	5979
632	10279	5959
633	10289	5939
634	10304	5923
635	10319	5905
636	10341	5893
637	10355	5875
638	10370	5858
639	10381	5839
640	10393	5821
641	10404	5802
642	10414	5782
643	10425	5762
644	10438	5745
645	10450	5726
646	10465	5709
647	10487	5697
648	10508	5683
649	10525	5667
650	10547	5654
651	10560	5636
652	10575	5619
653	10591	5603
654	10604	5585
655	10615	5566
656	10627	5548
657	10641	5531
658	10658	5515
659	10681	5502
660	10700	5487
661	10718	5472
662	10731	5454
663	10741	5435
664	10753	5416
665	10764	5398
666	10775	5379
667	10787	5361
668	10802	5344
669	10822	5330
670	10835	5312
671	10848	5295
672	10860	5277
673	10871	5258
674	10883	5240
675	10896	5222
676	10907	5203
677	10918	5185
678	10929	5166
679	10939	5148
680	10951	5130
681	10967	5113
682	10983	5097
683	10998	5081
684	11011	5063
685	11024	5045
686	11035	5027
687	11048	5010
688	11067	4995
689	11084	4979
690	11100	4963
691	11117	4948
692	11129	4930
693	11146	4914
694	11169	4901
695	11181	4883
696	11196	4867
697	11206	4848
698	11219	4831
699	11237	4815
700	11250	4798
701	11272	4785
702	11291	4770
703	11303	4752
704	11315	4734
705	11329	4717
706	11340	4699
707	11355	4683
708	11376	4669
709	11390	4652
710	11407	4636
711	11421	4620
712	11435	4603
713	11446	4584
714	11457	4566
715	11471	4550
716	11482	4532
717	11495	4514
718	11510	4498
719	11527	4483
720	11545	4467
721	11561	4451
722	11579	4436
723	11596	4420
724	11612	4404
725	11625	4387
726	11639	4370
727	11672	4361
728	11698	4348
729	11724	4336
730	11743	4321
731	11762	4306
732	11783	4292
733	11812	4280
734	11833	4266
735	11858	4253
736	11876	4238
737	11892	4221
738	11905	4204
739	11925	4189
740	11956	4179
741	11988	4168
742	12018	4157
743	12041	4143
744	12063	4129
745	12106	4121
746	12117	4103
747	12129	4086
748	12144	4069
749	12155	4051
750	12168	4034
751	12183	4018
752	12196	4000
753	12208	3983
754	12221	3965
755	12234	3948
756	12246	3931
757	12265	3915
758	12291	3902
759	12307	3886
760	12328	3871
761	12342	3855
762	12367	3841
763	12383	3825
764	12396	3807
765	12406	3790
766	12418	3772
767	12428	3754
768	12438	3736
769	12457	3721
770	12470	3703
771	12487	3687
772	12499	3670
773	12511	3653
774	12525	3636
775	12549	3622
776	12573	3608
777	12585	3591
778	12602	3575
779	12614	3557
780	12629	3541
781	12639	3523
782	12650	3505
783	12662	3488
784	12673	3471
785	12683	3453
786	12696	3436
787	12709	3419
788	12726	3403
789	12742	3387
790	12765	3372
791	12789	3358
792	12803	3342
793	12825	3327
794	12844	3312
795	12873	3299
796	12893	3284
797	12912	3268
798	12922	3250
799	12932	3233
800	12943	3215
801	12953	3197
802	12961	3179
803	12973	3162
804	12996	3148
805	13015	3132
806	13045	3120
807	13088	3110
808	13117	3097
809	13132	3080
810	13150	3064
811	13174	3050
812	13199	3036
813	13216	3019
814	13231	3003
815	13247	2987
816	13266	2971
817	13283	2955
818	13298	2938
819	13311	2922
820	13323	2904
821	13335	2887
822	13416	2885
823	13454	2873
824	13478	2859
825	13495	2842
826	13505	2825
827	13518	2808
828	13529	2790
829	13537	2772
830	13547	2755
831	13559	2737
832	13571	2720
833	13584	2703
834	13594	2686
835	13604	2668
836	13615	2651
837	13624	2633
838	13639	2617
839	13650	2600
840	13666	2583
841	13681	2567
842	13701	2551
843	13713	2534
844	13721	2517
845	13731	2499
846	13743	2482
847	13752	2465
848	13761	2447
849	13770	2430
850	13779	2412
851	13788	2395
852	13797	2377
853	13808	2360
854	13816	2343
855	13826	2325
856	13835	2308
857	13845	2291
858	13853	2274
859	13864	2257
860	13878	2240
861	13889	2223
862	13901	2206
863	13912	2189
864	13922	2172
865	13933	2155
866	13949	2139
867	13966	2123
868	13980	2107
869	13992	2090
870	14006	2074
871	14015	2057
872	14026	2040
873	14038	2023
874	14050	2007
875	14061	1990
876	14072	1973
877	14097	1958
878	14115	1943
879	14136	1927
880	14147	1910
881	14157	1894
882	14167	1877
883	14177	1860
884	14189	1843
885	14200	1827
886	14212	1810
887	14221	1793
888	14231	1776
889	14242	1760
890	14253	1743
891	14265	1727
892	14275	1710
893	14284	1693
894	14295	1677
895	14305	1660
896	14315	1643
897	14325	1627
898	14333	1610
899	14345	1593
900	14354	1577
901	14364	1560
902	14373	1543
903	14381	1527
904	14392	1510
905	14404	1494
906	14414	1478
907	14429	1462
908	14445	1446
909	14460	1430
910	14471	1413
911	14484	1397
912	14497	1381
913	14521	1366
914	14593	1355
915	14624	1341
916	14646	1325
917	14657	1309
918	14675	1293
919	14686	1277
920	14700	1260
921	14711	1244
922	14725	1228
923	14739	1212
924	14753	1196
925	14769	1180
926	14786	1164
927	14803	1148
928	14814	1132
929	14830	1116
930	14841	1099
931	14862	1084
932	14874	1068
933	14886	1051
934	14900	1035
935	14911	1019
936	14923	1003
937	14934	987
938	14943	970
939	14955	954
940	14963	938
941	14973	921
942	14983	905
943	15013	890
944	15052	876
945	15073	860
946	15090	844
947	15106	828
948	15127	812
949	15156	797
950	15180	782
951	15191	765
952	15202	749
953	15213	733
954	15224	717
955	15238	701
956	15253	685
957	15266	669
958	15278	653
959	15289	637
960	15307	621
961	15324	605
962	15335	589
963	15348	573
964	15363	557
965	15382	541
966	15410	525
967	15427	510
968	15439	493
969	15452	477
970	15464	461
971	15476	445
972	15488	429
973	15499	413
974	15510	397
975	15521	381
976	15573	366
977	15627	351
978	15700	336
979	15739	321
980	15789	305
981	15802	289
982	15813	273
983	15827	257
984	15846	241
985	15860	225
986	15876	209
987	15889	192
988	15910	176
989	15933	160
990	15957	144
991	15976	128
992	15989	112
993	16003	96
994	16017	80
995	16031	64
996	16046	48
997	16089	32
998	16101	16
999	16113	0
