iter	RMSE
151	404944.1979
152	404354.4107
153	403593.9499
154	402850.2983
155	402370.6054
156	401766.5338
157	401261.7035
158	400767.8012
159	400319.6674
160	399928.9953
161	399174.8044
162	398801.7277
163	398410.9974
164	397950.2571
165	397323.0945
166	396873.6637
167	396431.5237
168	396096.1503
169	395737.3745
170	395266.7897
171	394677.7757
172	394285.7151
173	393908.5352
174	393586.4207
175	393322.1317
176	392724.2761
177	392343.2482
178	391979.4291
179	391750.6942
180	391421.0415
181	390705.2249
182	390390.4948
183	389970.7418
184	389436.2584
185	389066.247
186	388413.0753
187	388196.4785
188	387854.3385
189	387401.4468
190	386950.201
191	386652.3327
192	386298.7506
193	385906.8661
194	385684.0454
195	385376.4417
196	385134.4918
197	384745.8709
198	384500.4781
199	383935.1609
200	383631.0675
201	383286.7155
202	383035.5925
203	382693.3182
204	382311.1219
205	382000.9169
206	381694.4513
207	381451.4752
208	381116.3479
209	380677.9046
210	380232.602
211	380056.8141
212	379775.8324
213	379324.4541
214	379062.1036
215	378813.4811
216	378524.9297
217	378224.2766
218	377982.6256
219	377669.1236
220	377510.7924
221	377209.8901
222	376888.5234
223	376661.4741
224	376412.0716
225	376142.5907
226	375858.0663
227	375643.0445
228	375343.7774
229	375032.7199
230	374881.7085
231	374610.9326
232	374385.7291
233	374112.1032
234	373840.9179
235	373574.3837
236	373229.157
237	372964.5654
238	372428.7022
239	372254.5264
240	371889.8931
241	371705.873
242	371519.9363
243	371216.0256
244	371007.4534
245	370805.7426
246	370666.6326
247	370451.546
248	370170.5575
249	369846.5849
250	369491.5867
251	369314.6137
252	369103.4071
253	368916.9074
254	368686.12
255	368246.4968
256	368046.2299
257	367730.3634
258	367524.9184
259	367379.4377
260	367130.2686
261	366874.6136
262	366636.7612
263	366529.6511
264	366334.0014
265	366165.4459
266	365998.9109
267	365813.8809
268	365616.3706
269	365439.3174
270	365196.7275
271	364934.4421
272	364619.1467
273	364410.8547
274	364191.9198
275	363984.8126
276	363802.2795
277	363632.4595
278	363282.4456
279	363119.2869
280	363002.3218
281	362844.9647
282	362682.2278
283	362468.5484
284	362256.358
285	362108.4988
286	361837.7521
287	361691.5877
288	361548.54
289	361331.222
290	361189.0606
291	360918.6274
292	360596.4944
293	360426.9606
294	360127.7321
295	359963.4279
296	359829.1329
297	359602.4132
298	359464.3353
299	359171.1592
300	358984.4787
301	358837.9254
302	358676.9411
303	358541.8165
304	358428.3413
305	358251.004
306	358007.545
307	357928.6196
308	357795.0617
309	357616.5759
310	357382.5509
311	357230.9534
312	357130.8747
313	356979.6637
314	356812.1703
315	356685.141
316	356456.9921
317	356308.9911
318	356047.8442
319	355931.1638
320	355644.8404
321	355496.2023
322	355308.6981
323	355175.3863
324	354889.6564
325	354677.9725
326	354497.0632
327	354384.7733
328	354276.2095
329	354168.6728
330	353969.1148
331	353859.3882
332	353703.529
333	353587.6815
334	353490.4197
335	353247.7717
336	353051.3857
337	352814.4203
338	352653.1042
339	352536.5473
340	352420.8694
341	352183.4563
342	352070.7781
343	351918.0936
344	351808.6533
345	351727.0532
346	351597.1907
347	351450.6456
348	351263.6803
349	351088.7231
350	350913.6863
351	350804.6126
352	350666.957
353	350527.0173
354	350312.8585
355	350182.2134
356	349941.5379
357	349813.9015
358	349663.816
359	349505.8012
360	349324.7968
361	349199.1236
362	349122.225
363	348959.7433
364	348842.2728
365	348701.396
366	348600.031
367	348509.8984
368	348377.5272
369	348171.9907
370	348030.7144
371	347870.6654
372	347737.9349
373	347620.6841
374	347439.8298
375	347327.4642
376	347172.2301
377	346980.9727
378	346905.1373
379	346739.387
380	346625.5617
381	346549.8821
382	346425.1391
383	346311.3883
384	346253.6075
385	346160.0019
386	345997.0015
387	345906.0823
388	345822.3788
389	345676.8534
390	345569.6246
391	345475.4782
392	345332.8863
393	345202.7508
394	345084.512
395	344956.9238
396	344873.0572
397	344728.8007
398	344629.1151
399	344495.3518
400	344444.3893
401	344371.5536
402	344295.6077
403	344099.455
404	344008.339
405	343915.7806
406	343799.8023
407	343705.647
408	343578.3939
409	343490.915
410	343377.8238
411	343284.2088
412	343237.9902
413	343139.5688
414	343016.9007
415	342889.6266
416	342750.6215
417	342564.9349
418	342449.1928
419	342359.5778
420	342317.4372
421	342219.1271
422	342123.0696
423	341951.4343
424	341873.4243
425	341762.4225
426	341672.8851
427	341581.1024
428	341501.2449
429	341341.3623
430	341193.3181
431	341079.0963
432	340965.8586
433	340837.9125
434	340739.5637
435	340658.8162
436	340558.0995
437	340457.1411
438	340358.2437
439	340234.7389
440	340172.2257
441	340067.4447
442	340029.5788
443	339875.7868
444	339809.7593
445	339712
446	339624.9937
447	339484.8682
448	339345.9154
449	339246.3311
450	339118.4791
451	339018.9086
452	338922.0376
453	338746.1532
454	338668.7276
455	338546.9371
456	338439.3559
457	338360.4093
458	338203.2858
459	338119.3358
460	338044.9478
461	337967.6385
462	337840.9551
463	337753.4652
464	337661.4495
465	337556.975
466	337525.8821
467	337412.3006
468	337325.6155
469	337236.0882
470	337133.7256
471	337066.3868
472	336996.1307
473	336922.2982
474	336831.3243
475	336656.0799
476	336552.8551
477	336472.4833
478	336387.7141
479	336295.3499
480	336224.1014
481	336149.1798
482	336022.4223
483	335917.4761
484	335833.4373
485	335761.7602
486	335695.6843
487	335610.0539
488	335496.8915
489	335390.9729
490	335278.3464
491	335213.2301
492	335126.728
493	335007.6211
494	334934.0522
495	334879.455
496	334830.6105
497	334706.3961
498	334575.1902
499	334475.467
500	334373.4243
501	334299.4769
502	334219.0377
503	334158.2507
504	334090.9281
505	334019.7055
506	333926.193
507	333803.5216
508	333732.3503
509	333564.5412
510	333469.5087
511	333371.3346
512	333268.2357
513	333196.4553
514	333141.5523
515	333081.4249
516	333024.533
517	332967.8561
518	332894.2694
519	332828.8157
520	332773.1105
521	332693.2804
522	332580.5764
523	332466.8105
524	332373.6223
525	332301.1378
526	332208.9057
527	332089.3062
528	332009.2959
529	331920.9883
530	331855.3783
531	331758.9921
532	331694.6813
533	331666.8897
534	331553.2387
535	331499.6254
536	331434.4878
537	331351.0066
538	331241.8062
539	331177.714
540	331127.884
541	331052.5261
542	330977.2086
543	330882.3394
544	330779.6918
545	330702.9551
546	330663.9662
547	330606.1975
548	330546.0675
549	330502.3947
550	330455.9502
551	330377.9445
552	330300.6549
553	330259.2376
554	330203.2145
555	330137.672
556	330069.588
557	330011.3508
558	329931.6698
559	329866.9365
560	329825.8925
561	329756.7965
562	329688.6517
563	329643.4022
564	329453.7918
565	329365.8596
566	329298.9084
567	329273.6998
568	329219.9937
569	329164.8872
570	329055.0232
571	328972.4935
572	328929.3748
573	328880.8365
574	328828.3959
575	328761.5255
576	328708.7205
577	328669.9354
578	328627.9678
579	328566.0968
580	328491.9404
581	328468.2289
582	328427.4563
583	328293.2703
584	328227.7117
585	328166.0323
586	328128.9379
587	328001.8798
588	327922.8034
589	327857.5359
590	327799.2802
591	327777.0195
592	327704.1401
593	327627.4398
594	327571.8542
595	327536.7253
596	327515.2185
597	327406.9511
598	327338.2281
599	327249.104
600	327157.0282
601	327113.1592
602	327057.7923
603	326924.2158
604	326872.0542
605	326851.7192
606	326807.1104
607	326764.6584
608	326730.6333
609	326685.1495
610	326651.735
611	326579.3831
612	326530.3391
613	326489.6673
614	326398.4205
615	326349.9079
616	326285.8418
617	326235.0215
618	326187.1578
619	326153.5143
620	326115.3009
621	326075.9597
622	326014.6069
623	325942.0963
624	325876.6122
625	325844.9323
626	325766.3045
627	325721.7286
628	325685.6407
629	325596.2643
630	325551.3272
631	325507.3507
632	325463.3685
633	325380.431
634	325311.6347
635	325239.0031
636	325175.8638
637	325088.9134
638	325020.7417
639	324979.1828
640	324918.0956
641	324801.6391
642	324749.0235
643	324698.3018
644	324665.1157
645	324618.6125
646	324537.6069
647	324466.2008
648	324405.6754
649	324277.6855
650	324214.7909
651	324146.3141
652	324067.4415
653	323961.002
654	323923.7429
655	323854.2813
656	323819.8397
657	323750.0131
658	323661.574
659	323576.1052
660	323504.4687
661	323427.7236
662	323289.3105
663	323270.3073
664	323181.1903
665	323121.8308
666	323016.473
667	322952.6877
668	322877.1439
669	322784.8471
670	322748.5862
671	322709.4347
672	322651.2879
673	322587.5734
674	322531.8879
675	322513.6739
676	322460.9832
677	322392.2622
678	322293.2808
679	322227.5986
680	322157.3624
681	322097.3476
682	322070.6917
683	322040.7408
684	322008.4562
685	321949.0891
686	321864.0769
687	321774.0822
688	321745.2179
689	321635.4849
690	321608.7336
691	321548.8098
692	321425.767
693	321374.3449
694	321297.0456
695	321245.7244
696	321178.8087
697	321141.2594
698	321114.0192
699	321070.9256
700	321013.6441
701	320934.2575
702	320877.6113
703	320775.6046
704	320704.672
705	320643.9867
706	320595.1357
707	320555.8229
708	320498.5178
709	320481.1954
710	320446.3674
711	320411.8637
712	320359.5753
713	320295.3337
714	320252.7827
715	320210.289
716	320123.2537
717	320062.407
718	320034.9788
719	319965.3143
720	319914.7613
721	319863.8943
722	319817.7373
723	319758.0077
724	319723.5846
725	319701.437
726	319621.8269
727	319589.8602
728	319545.5844
729	319498.3582
730	319427.5485
731	319342.2673
732	319292.5528
733	319226.0289
734	319167.2057
735	319121.8674
736	319105.6814
737	319050.4353
738	319020.1313
739	318970.558
740	318858.5867
741	318781.9067
742	318717.2376
743	318667.7602
744	318611.9824
745	318568.4858
746	318523.8484
747	318471.8238
748	318423.4522
749	318358.0877
750	318325.2427
751	318282.4719
752	318232.5663
753	318203.4211
754	318164.523
755	318103.8284
756	318055.2638
757	317977.7367
758	317933.8342
759	317918.8964
760	317887.8043
761	317794.5101
762	317749.1376
763	317688.4476
764	317643.7814
765	317586.0558
766	317514.7649
767	317462.1841
768	317368.7529
769	317310.2327
770	317281.4318
771	317228.0707
772	317160.6576
773	317120.9934
774	317032.8787
775	316999.2103
776	316953.032
777	316865.6874
778	316816.8094
779	316774.6344
780	316707.3716
781	316676.8802
782	316648.1015
783	316577.9481
784	316529.6608
785	316468.5594
786	316371.7002
787	316294.0143
788	316242.1227
789	316203.7902
790	316158.625
791	316106.8759
792	316092.2583
793	316018.8106
794	315941.326
795	315894.8732
796	315850.1597
797	315803.0791
798	315755.3202
799	315709.0805
800	315648.1989
801	315607.571
802	315526.4048
803	315441.8782
804	315397.0303
805	315319.6828
806	315265.3403
807	315212.4549
808	315192.6216
809	315163.7015
810	315128.4822
811	315097.4362
812	315079.6486
813	315053.03
814	314990.6221
815	314927.0515
816	314908.3954
817	314858.8623
818	314801.9984
819	314747.4747
820	314676.9848
821	314605.1014
822	314556.3143
823	314525.5551
824	314489.8404
825	314423.8108
826	314375.8314
827	314346.0325
828	314281.0871
829	314257.6962
830	314192.8334
831	314147.895
832	314103.0402
833	314075.098
834	314034.7598
835	313996.0353
836	313952.3321
837	313925.1577
838	313901.9696
839	313881.5724
840	313841.7591
841	313792.8068
842	313759.5655
843	313672.9726
844	313623.7052
845	313566.1506
846	313516.6169
847	313474.2888
848	313426.1684
849	313393.3616
850	313347.5223
851	313304.5494
852	313264.044
853	313220.221
854	313190.577
855	313166.091
856	313138.5792
857	313093.1771
858	313073.9083
859	313030.9616
860	312959.8267
861	312889.4415
862	312866.935
863	312805.4859
864	312737.7872
865	312679.0332
866	312660.945
867	312637.1564
868	312572.0517
869	312498.5672
870	312459.6131
871	312432.3106
872	312386.9268
873	312327.2032
874	312292.0245
875	312256.5878
876	312203.8388
877	312161.4711
878	312149.2903
879	312075.2341
880	312028.8071
881	311970.2516
882	311928.7423
883	311879.1744
884	311850.9873
885	311820.5886
886	311790.9638
887	311755.2182
888	311691.3024
889	311636.3704
890	311597.3529
891	311561.7033
892	311491.2972
893	311468.7214
894	311420.4718
895	311367.2057
896	311279.3302
897	311233.9324
898	311177.3529
899	311144.9461
900	311105.2173
901	311053.2419
902	311015.8611
903	310998.7372
904	310970.3644
905	310950.2118
906	310900.6287
907	310861.7786
908	310804.535
909	310738.5403
910	310703.9464
911	310637.9301
912	310621.979
913	310584.8626
914	310564.4099
915	310523.7553
916	310473.6715
917	310434.2408
918	310384.0951
919	310327.711
920	310259.8532
921	310217.2669
922	310187.8113
923	310148.4326
924	310116.8437
925	310083.1475
926	310045.2432
927	310003.5279
928	309962.0835
929	309933.8321
930	309922.9946
931	309900.0709
932	309874.6194
933	309844.0612
934	309815.628
935	309781.1362
936	309743.2449
937	309700.4511
938	309652.8431
939	309604.3051
940	309588.555
941	309554.905
942	309489.5875
943	309451.447
944	309406.7042
945	309377.8204
946	309294.0024
947	309254.0973
948	309184.1049
949	309151.6356
950	309106.6655
951	309047.2353
952	309011.2669
953	308962.0097
954	308888.5782
955	308845.9912
956	308811.3782
957	308770.6762
958	308733.8734
959	308702.6397
960	308670.6365
961	308644.4112
962	308620.3222
963	308586.0719
964	308528.181
965	308492.3669
966	308448.9159
967	308410.3463
968	308368.7396
969	308338.4357
970	308248.4865
971	308205.1322
972	308149.1761
973	308105.0074
974	308072.7663
975	308040.522
976	308016.7809
977	307992.089
978	307961.9723
979	307883.2131
980	307843.7531
981	307789.8987
982	307772.5456
983	307726.7135
984	307709.139
985	307651.0999
986	307617.2937
987	307585.287
988	307560.5753
989	307490.5337
990	307447.1603
991	307416.4228
992	307348.1047
993	307316.8962
994	307288.9472
995	307256.3866
996	307207.0481
997	307179.6367
998	307156.2298
999	307141.2136
