property_id,url,area_range,housing_type,scraped_at
1505645,"https://www.hemnet.se/salda/lagenhet-4rum-bollmora-tyreso-tyreso-kommun-peppargrand-8,-van-1-2-1505645",129-132m²,bostadsratt,2026-08-02T15:33:23.561874
527210676745226120,https://www.hemnet.se/salda/lagenhet-5rum-saro-kungsbacka-kommun-saro-centrumvag-5-penthouse-527210676745226120,129-132m²,bostadsratt,2026-08-02T15:33:23.561880
7748925516555611872,https://www.hemnet.se/salda/lagenhet-4rum-valla-ostersunds-kommun-frimans-vag-167-7748925516555611872,129-132m²,bostadsratt,2026-08-02T15:33:23.561884
2049823705992137211,https://www.hemnet.se/salda/lagenhet-5rum-centrum-enkopings-kommun-kungsgatan-17-2049823705992137211,129-132m²,bostadsratt,2026-08-02T15:33:23.561887
1005192,https://www.hemnet.se/salda/lagenhet-5rum-lysekil-lysekils-kommun-almgatan-34-g-1005192,129-132m²,bostadsratt,2026-08-02T15:33:23.561890
522298,https://www.hemnet.se/salda/lagenhet-5rum-centralt-vaster-nykopings-kommun-brunnsgatan-41-b-522298,129-132m²,bostadsratt,2026-08-02T15:33:23.561894
1195934,https://www.hemnet.se/salda/lagenhet-5rum-ostergard-halmstads-kommun-osterangsgatan-18-1195934,129-132m²,bostadsratt,2026-08-02T15:33:23.561896
769745,https://www.hemnet.se/salda/lagenhet-5rum-aby-park-vallentuna-kommun-takpannevagen-131-769745,129-132m²,bostadsratt,2026-08-02T15:33:23.561903
5594857389486995102,https://www.hemnet.se/salda/lagenhet-5rum-ostermalm-stockholms-kommun-odengatan-6a-5594857389486995102,129-132m²,bostadsratt,2026-08-02T15:33:23.561906
1138981,https://www.hemnet.se/salda/lagenhet-4rum-centralt-vaster-nykopings-kommun-vastra-kvarngatan-38-1138981,129-132m²,bostadsratt,2026-08-02T15:33:23.561909
349687,https://www.hemnet.se/salda/lagenhet-4rum-jarla-sjo-nacka-kommun-garverigrand-7-349687,129-132m²,bostadsratt,2026-08-02T15:33:23.561912
1492593,https://www.hemnet.se/salda/lagenhet-6rum-bjorndammsterrassen-partille-kommun-bjorndammsterrassen-6-1492593,129-132m²,bostadsratt,2026-08-02T15:33:23.561915
1091624,https://www.hemnet.se/salda/lagenhet-4rum-ostermalm-stockholms-kommun-artillerigatan-53-1091624,129-132m²,bostadsratt,2026-08-02T15:33:23.561918
2246321766444506487,https://www.hemnet.se/salda/lagenhet-5rum-kronoparken-karlstads-kommun-kantelegatan-22c-2246321766444506487,129-132m²,bostadsratt,2026-08-02T15:33:23.561920
573673,"https://www.hemnet.se/salda/lagenhet-5rum-vasastan-stockholms-kommun-vanadisvagen-36,-4-tr-573673",129-132m²,bostadsratt,2026-08-02T15:33:23.561923
5512705461377853344,"https://www.hemnet.se/salda/lagenhet-3,5rum-slussen-malmo-kommun-slussgatan-12c-5512705461377853344",129-132m²,bostadsratt,2026-08-02T15:33:23.561926
6658910924268492400,https://www.hemnet.se/salda/lagenhet-4rum-nasbypark-taby-kommun-centralvagen-35-6658910924268492400,129-132m²,bostadsratt,2026-08-02T15:33:23.561928
165734,"https://www.hemnet.se/salda/lagenhet-5rum-grondal-stockholms-kommun-ormbergsvagen-20,-7tr-165734",129-132m²,bostadsratt,2026-08-02T15:33:23.561931
8607509080977258583,https://www.hemnet.se/salda/lagenhet-5rum-falkvik-solvesborgs-kommun-rodvensvagen-6a-8607509080977258583,129-132m²,bostadsratt,2026-08-02T15:33:23.561934
564752945856534578,https://www.hemnet.se/salda/lagenhet-5rum-lilla-alby-sundbybergs-kommun-traddragargrand-5b-564752945856534578,129-132m²,bostadsratt,2026-08-02T15:33:23.561937
