url,error
https://www.hemnet.se/salda/lagenhet-1rum-paradiset-nybro-kommun-goljemalagatan-18a-6983473013881717419,No data returned
"https://www.hemnet.se/salda/lagenhet-1rum-olofstrom-olofstroms-kommun-nordenbergsvagen,-11-a-4288956832961330743",No data returned
https://www.hemnet.se/salda/lagenhet-1rum-kolarbyn-fagersta-kommun-bruksvagen-1b-488900038628690759,No data returned
https://www.hemnet.se/salda/lagenhet-1rum-skara-skara-kommun-harlundagatan-27f-4441609020692282789,No data returned
https://www.hemnet.se/salda/lagenhet-1rum-fredriksberg-falkopings-kommun-wetterlinsgatan-26-a-2008895261130832385,No data returned
