url,error
https://www.hemnet.se/salda/lagenhet-2rum-slussen-malmo-kommun-ostra-forstadsgatan-17-f-431917,No data returned
https://www.hemnet.se/salda/lagenhet-3rum-city-malmo-kommun-brogatan-11b-1133765,No data returned
https://www.hemnet.se/salda/lagenhet-2rum-hogaholm-almvik-malmo-kommun-serenadgatan-25-303311,No data returned
"https://www.hemnet.se/salda/lagenhet-2,5rum-lonngarden-malmo-kommun-lonngatan-44a-632825",No data returned
https://www.hemnet.se/salda/lagenhet-2rum-fosiedal-malmo-kommun-hyacintgatan-3-967615,No data returned
