property_id,url,sold_month,scraped_at
844643864839689960,https://www.hemnet.se/salda/lagenhet-3rum-dammfri-malmo-kommun-bellevuevagen-4c-844643864839689960,2025-11,2025-11-15T20:05:25.228342
8670965550708739872,https://www.hemnet.se/salda/lagenhet-3rum-hogaholm-malmo-kommun-serenadgatan-23-8670965550708739872,2025-11,2025-11-15T20:05:25.228345
6860964530167542067,https://www.hemnet.se/salda/lagenhet-4rum-citadellskajen-malmo-kommun-vastra-alvgatan-10-6860964530167542067,2025-11,2025-11-15T20:05:25.228347
8265889731408639310,https://www.hemnet.se/salda/lagenhet-2rum-eriksfalt-soderkulla-malmo-kommun-munkhattegatan-34b-8265889731408639310,2025-11,2025-11-15T20:05:25.228349
5243252725907788636,https://www.hemnet.se/salda/lagenhet-2rum-dockan-malmo-kommun-krankajen-20-5243252725907788636,2025-11,2025-11-15T20:05:25.228352
9089497183115371346,https://www.hemnet.se/salda/lagenhet-2rum-vastra-hamnen-malmo-kommun-einar-hansens-esplanad-16-9089497183115371346,2025-11,2025-11-15T20:05:25.228354
508286968405041278,https://www.hemnet.se/salda/lagenhet-3rum-soderkulla-malmo-kommun-ormvraksgatan-5-508286968405041278,2025-11,2025-11-15T20:05:25.228357
4380713255668078385,https://www.hemnet.se/salda/lagenhet-2rum-slottsstaden-malmo-kommun-tarningholmsgatan-7-4380713255668078385,2025-11,2025-11-15T20:05:25.228362
1475739721740993412,https://www.hemnet.se/salda/lagenhet-2rum-varvsstaden-malmo-kommun-gamla-dockan-13-1475739721740993412,2025-11,2025-11-15T20:05:25.228364
9156284561016495254,https://www.hemnet.se/salda/lagenhet-2rum-rorsjostaden-malmo-kommun-lojtnantsgatan-12b-9156284561016495254,2025-11,2025-11-15T20:05:25.228366
5988494827101510429,https://www.hemnet.se/salda/lagenhet-1rum-ribersborg-malmo-kommun-kilian-zollsgatan-9b-5988494827101510429,2025-11,2025-11-15T20:05:25.228369
6940932755846092334,https://www.hemnet.se/salda/lagenhet-2rum-pildammarna-malmo-kommun-roskildevagen-25d-6940932755846092334,2025-11,2025-11-15T20:05:25.228371
7065835292383069159,https://www.hemnet.se/salda/lagenhet-4rum-limhamn-on-malmo-kommun-sundholmsgatan-7-7065835292383069159,2025-11,2025-11-15T20:05:25.228376
4804329826406607739,https://www.hemnet.se/salda/lagenhet-3rum-davidshall-malmo-kommun-vastra-ronneholmsvagen-31a-4804329826406607739,2025-11,2025-11-15T20:05:25.228378
1793757018725327733,https://www.hemnet.se/salda/lagenhet-2rum-ellstorp-malmo-kommun-ellstorpsgatan-5d-1793757018725327733,2025-11,2025-11-15T20:05:25.228381
