url,error
https://www.hemnet.se/bostad/lagenhet-4rum-taby-park-taby-kommun-vintergaloppsgatan-19-21487147,No data returned
https://www.hemnet.se/bostad/lagenhet-4rum-rindo-vaxholms-kommun-ostra-kasernvagen-21661321,No data returned
https://www.hemnet.se/bostad/lagenhet-4rum-rindo-vaxholms-kommun-ostra-kasernvagen-21661315,No data returned
https://www.hemnet.se/bostad/lagenhet-2rum-skondal-stockholms-kommun-skondalsvagen-101-21632138,No data returned
https://www.hemnet.se/bostad/lagenhet-5rum-taby-park-taby-kommun-boulevarden-27-18675515,No data returned
https://www.hemnet.se/bostad/lagenhet-1rum-skondal-stockholms-kommun-skondalsvagen-101-21626411,No data returned
https://www.hemnet.se/bostad/lagenhet-2rum-taby-park-taby-kommun-blinkersgatan-26-21565054,No data returned
https://www.hemnet.se/bostad/lagenhet-3rum-rindo-vaxholms-kommun-ostra-kasernvagen-21661317,No data returned
https://www.hemnet.se/bostad/lagenhet-2rum-eriksberg-goteborgs-kommun-bratterasgatan-21651603,No data returned
https://www.hemnet.se/bostad/lagenhet-2rum-eriksberg-goteborgs-kommun-bratterasgatan-21651598,No data returned
