url,error
https://www.hemnet.se/salda/lagenhet-1rum-centralt-harjedalens-kommun-fogdegatan-3-4515675347647500863,No data returned
https://www.hemnet.se/salda/lagenhet-1rum-ramnas-surahammars-kommun-ashammarvagen-56b-3280771589703467085,No data returned
https://www.hemnet.se/salda/lagenhet-1rum-paradiset-nybro-kommun-goljemalagatan-18a-6983473013881717419,No data returned
"https://www.hemnet.se/salda/lagenhet-1rum-olofstrom-olofstroms-kommun-nordenbergsvagen,-11-a-4288956832961330743",No data returned
https://www.hemnet.se/salda/lagenhet-1rum-risbron-fagersta-kommun-ringvagen-14-6981209746040871740,No data returned
