property_id,url,area_range,housing_type,scraped_at
6508731727346344086,https://www.hemnet.se/salda/lagenhet-7rum-eklanda-molndals-kommun-eklanda-torg-33-6508731727346344086,136-142m²,bostadsratt,2026-06-21T13:10:24.067047
350688,https://www.hemnet.se/salda/lagenhet-5rum-centrum-lunds-kommun-kavlingevagen-32-a-350688,136-142m²,bostadsratt,2026-06-21T13:10:24.067057
466963,https://www.hemnet.se/salda/lagenhet-7rum-skalby-jarfalla-kommun-vikingavagen-4-466963,136-142m²,bostadsratt,2026-06-21T13:10:24.067060
1439967,https://www.hemnet.se/salda/lagenhet-4rum-varnhem-malmo-kommun-ostra-forstadsgatan-35b-1439967,136-142m²,bostadsratt,2026-06-21T13:10:24.067062
733038,https://www.hemnet.se/salda/lagenhet-6rum-saltsjo-boo-nacka-kommun-tyrvagen-12b-733038,136-142m²,bostadsratt,2026-06-21T13:10:24.067065
1102263,https://www.hemnet.se/salda/lagenhet-4rum-vaster-nykopings-kommun-vastra-tradgardsgatan-65c-1102263,136-142m²,bostadsratt,2026-06-21T13:10:24.067068
774551,https://www.hemnet.se/salda/lagenhet-5rum-kampen-vaxjo-kommun-kung-magnus-vag-34-774551,136-142m²,bostadsratt,2026-06-21T13:10:24.067071
1044509,https://www.hemnet.se/salda/lagenhet-4rum-linnestaden-goteborgs-kommun-fjarde-langgatan-18-a-1044509,136-142m²,bostadsratt,2026-06-21T13:10:24.067074
1455781,https://www.hemnet.se/salda/lagenhet-6rum-berga-bergavik-kalmar-kommun-brf-sidenstigen-lgh-7-1455781,136-142m²,bostadsratt,2026-06-21T13:10:24.067077
852799,https://www.hemnet.se/salda/lagenhet-5rum-leksberg-mariaholm-gardet-mariestads-kommun-marieholmsvagen-2b-852799,136-142m²,bostadsratt,2026-06-21T13:10:24.067081
4473942355326279542,https://www.hemnet.se/salda/lagenhet-5rum-ostermalm-stockholms-kommun-villagatan-24-4473942355326279542,136-142m²,bostadsratt,2026-06-21T13:10:24.067083
7959934394731530101,https://www.hemnet.se/salda/lagenhet-4rum-ostermalm-vasastan-stockholms-kommun-birger-jarlsgatan-53-7959934394731530101,136-142m²,bostadsratt,2026-06-21T13:10:24.067085
5668682660230333102,https://www.hemnet.se/salda/lagenhet-6rum-hammarby-sjostad-stockholms-kommun-babordsgatan-1-5668682660230333102,136-142m²,bostadsratt,2026-06-21T13:10:24.067087
301761,"https://www.hemnet.se/salda/lagenhet-5rum-danviks-strand,-nacka-nacka-kommun-vastra-finnbodavagen-11b-301761",136-142m²,bostadsratt,2026-06-21T13:10:24.067089
1080999,https://www.hemnet.se/salda/lagenhet-6rum-rorsjostaden-malmo-kommun-ehrensvardsgatan-13a-1080999,136-142m²,bostadsratt,2026-06-21T13:10:24.067090
1195828027355055417,https://www.hemnet.se/salda/lagenhet-6rum-hovsta-orebro-kommun-gladarbergsvagen-12-1195828027355055417,136-142m²,bostadsratt,2026-06-21T13:10:24.067091
