property_id,url,area_range,housing_type,scraped_at
7522124709301911015,https://www.hemnet.se/salda/lagenhet-1rum-bandhagen-stockholms-kommun-bandhagsplan-11-7522124709301911015,22-23m²,bostadsratt,2026-05-21T14:17:25.119277
1370395,https://www.hemnet.se/salda/lagenhet-1rum-djursholm-danderyds-kommun-vendevagen-77a-1370395,22-23m²,bostadsratt,2026-05-21T14:17:25.119286
4891433183102660654,https://www.hemnet.se/salda/lagenhet-1rum-ren-bollnas-kommun-sodra-backvagen-6b-4891433183102660654,22-23m²,bostadsratt,2026-05-21T14:17:25.119289
1360071,https://www.hemnet.se/salda/lagenhet-1rum-spanga-rinkeby-stockholms-kommun-hjulstavagen-92-1360071,22-23m²,bostadsratt,2026-05-21T14:17:25.119292
1264364,https://www.hemnet.se/salda/lagenhet-1rum-ostermalm-stockholms-kommun-banergatan-31-a-1264364,22-23m²,bostadsratt,2026-05-21T14:17:25.119295
8245122469534114280,"https://www.hemnet.se/salda/lagenhet-1rum-hagerneholm,-arninge-ullna-taby-kommun-hagerneholmsvagen-6a-8245122469534114280",22-23m²,bostadsratt,2026-05-21T14:17:25.119298
1243193,"https://www.hemnet.se/salda/lagenhet-1rum-ostermalm-stockholms-kommun-skeppargatan-57,-1-2-tr-1243193",22-23m²,bostadsratt,2026-05-21T14:17:25.119301
1302659,https://www.hemnet.se/salda/lagenhet-1rum-tuvebo-alingsas-kommun-gerdska-strand-17-1302659,22-23m²,bostadsratt,2026-05-21T14:17:25.119304
921073,https://www.hemnet.se/salda/lagenhet-1rum-centrala-sundbyberg-sundbybergs-kommun-fagelsangen-4-921073,22-23m²,bostadsratt,2026-05-21T14:17:25.119306
4179916889708972338,https://www.hemnet.se/salda/lagenhet-1rum-centralt-linkopings-kommun-linnegatan-10-4179916889708972338,22-23m²,bostadsratt,2026-05-21T14:17:25.119307
1347689,https://www.hemnet.se/salda/lagenhet-1rum-huddinge-centralt-huddinge-kommun-horningsnasvagen-32-1347689,22-23m²,bostadsratt,2026-05-21T14:17:25.119309
5215882901813691454,https://www.hemnet.se/salda/lagenhet-1rum-vasastan-roda-bergen-stockholms-kommun-falugatan-18-5215882901813691454,22-23m²,bostadsratt,2026-05-21T14:17:25.119311
7955958014168137819,https://www.hemnet.se/salda/lagenhet-1rum-sodermalm-katarina-stockholms-kommun-asogatan-96-7955958014168137819,22-23m²,bostadsratt,2026-05-21T14:17:25.119312
8713733421265992709,"https://www.hemnet.se/salda/lagenhet-1rum-nacka-sickla-finntorp-nacka-kommun-tallidsvagen-7,-1tr-8713733421265992709",22-23m²,bostadsratt,2026-05-21T14:17:25.119314
1463226,https://www.hemnet.se/salda/lagenhet-1rum-kungsbacka-vastra-villastaden-kungsbacka-kommun-kungsgatan-31-1463226,22-23m²,bostadsratt,2026-05-21T14:17:25.119316
1079090,https://www.hemnet.se/salda/lagenhet-1rum-nobeltorget-malmo-kommun-amiralsgatan-89c-1079090,22-23m²,bostadsratt,2026-05-21T14:17:25.119318
934629,"https://www.hemnet.se/salda/lagenhet-1rum-gardet-stockholms-kommun-vartavagen-59,-3tr-934629",22-23m²,bostadsratt,2026-05-21T14:17:25.119319
6946200546640611098,https://www.hemnet.se/salda/lagenhet-1rum-huvudsta-solna-kommun-wiboms-vag-10-6946200546640611098,22-23m²,bostadsratt,2026-05-21T14:17:25.119321
8383438865310292429,https://www.hemnet.se/salda/lagenhet-1rum-centrala-hisingen-goteborgs-kommun-herkulesgatan-5a-8383438865310292429,22-23m²,bostadsratt,2026-05-21T14:17:25.119323
1084141,https://www.hemnet.se/salda/lagenhet-1rum-ostermalm-nedre-gardet-stockholms-kommun-askrikegatan-17-1084141,22-23m²,bostadsratt,2026-05-21T14:17:25.119325
1319062,"https://www.hemnet.se/salda/lagenhet-1rum-lilla-essingen-kungsholmen-stockholms-kommun-stralgatan-8,-van-6-1319062",22-23m²,bostadsratt,2026-05-21T14:17:25.119326
8965289108862308434,https://www.hemnet.se/salda/lagenhet-1rum-kungsholmen-stockholms-kommun-fridhemsplan-25-8965289108862308434,22-23m²,bostadsratt,2026-05-21T14:17:25.119328
