url,error
https://www.hemnet.se/bostad/lagenhet-2rum-lonngarden-malmo-kommun-lonngatan-44a-21496226,No data returned
https://www.hemnet.se/bostad/lagenhet-3rum-soderby-salems-kommun-soderby-torgs-alle-14-21495749,No data returned
https://www.hemnet.se/bostad/lagenhet-1rum-eriksberg-uppsala-kommun-stigbergsplan-5-21494503,No data returned
https://www.hemnet.se/bostad/lagenhet-1rum-dalbo-vaxjo-kommun-dalbovagen-3b-21499914,No data returned
https://www.hemnet.se/bostad/lagenhet-1rum-kistahojden-stockholms-kommun-heklagatan-57c-21501854,No data returned
https://www.hemnet.se/bostad/lagenhet-2rum-kumla-kommun-torsgatan-7-21511483,No data returned
https://www.hemnet.se/bostad/lagenhet-2rum-centrum-enkopings-kommun-ostra-ringgatan-26-21511721,No data returned
https://www.hemnet.se/bostad/lagenhet-4rum-gribbylund-taby-kommun-trefaldighetsvagen-26a-21514011,No data returned
https://www.hemnet.se/bostad/lagenhet-3rum-valla-linkopings-kommun-vaverigatan-1-lgh-1202-21382341,No data returned
https://www.hemnet.se/bostad/lagenhet-2rum-nobel-sorgenfri-malmo-kommun-baskemollegatan-8b-21525391,No data returned
