url,error
https://www.hemnet.se/salda/lagenhet-4rum-vendelso-haninge-kommun-vendelso-skolvag-21-4656255320387178317,No data returned
https://www.hemnet.se/salda/lagenhet-4rum-malmo-malmo-kommun-carlsgatan-33b-4964686018969404555,No data returned
https://www.hemnet.se/salda/lagenhet-2rum-rorsjostaden-malmo-kommun-fredmansgatan-3b-1502500,No data returned
https://www.hemnet.se/salda/lagenhet-2rum-vastra-hamnen-malmo-kommun-lilla-varvsgatan-23a-27682473254804329,No data returned
https://www.hemnet.se/salda/lagenhet-2rum-ellstorp-malmo-kommun-sofierogatan-3c-790106362960230924,No data returned
