property_id,url,area_range,housing_type,scraped_at
7993606599525397337,https://www.hemnet.se/salda/lagenhet-2rum-gottfridsberg-linkopings-kommun-alvastragatan-6a-7993606599525397337,56-57m²,bostadsratt,2026-07-25T06:03:12.346724
5675495526781401247,https://www.hemnet.se/salda/lagenhet-2rum-stadsdel-norr-ostersunds-kommun-faltjagargrand-13b-5675495526781401247,56-57m²,bostadsratt,2026-07-25T06:03:12.346730
40025659472146676,https://www.hemnet.se/salda/lagenhet-2rum-sanden-bodens-kommun-sandgatan-1b-40025659472146676,56-57m²,bostadsratt,2026-07-25T06:03:12.346732
4225029789444710380,https://www.hemnet.se/salda/lagenhet-2rum-svedmyra-stockholms-kommun-jonakersvagen-9-4225029789444710380,56-57m²,bostadsratt,2026-07-25T06:03:12.346734
4622833846198274466,https://www.hemnet.se/salda/lagenhet-2rum-centrala-hisingen-goteborgs-kommun-lantmannagatan-7-4622833846198274466,56-57m²,bostadsratt,2026-07-25T06:03:12.346735
6237970773562584108,"https://www.hemnet.se/salda/lagenhet-2rum-vastra-skogen-solna-kommun-armegatan-10,-van-4-av-4-6237970773562584108",56-57m²,bostadsratt,2026-07-25T06:03:12.346737
8687090959392957137,https://www.hemnet.se/salda/lagenhet-2rum-centralt-falu-kommun-magasinsgatan-16b-8687090959392957137,56-57m²,bostadsratt,2026-07-25T06:03:12.346739
8929527802882635873,https://www.hemnet.se/salda/lagenhet-2rum-granby-uppsala-kommun-rabyvagen-57c-8929527802882635873,56-57m²,bostadsratt,2026-07-25T06:03:12.346740
3032511774146266758,https://www.hemnet.se/salda/lagenhet-2rum-pildammarna-kronborg-malmo-kommun-falkmansgatan-7a-3032511774146266758,56-57m²,bostadsratt,2026-07-25T06:03:12.346742
8227149055591277554,https://www.hemnet.se/salda/lagenhet-2rum-brannan-harnosands-kommun-strengbergsgatan-36-d-8227149055591277554,56-57m²,bostadsratt,2026-07-25T06:03:12.346743
2801569089503987314,https://www.hemnet.se/salda/lagenhet-1rum-gallivare-gallivare-kommun-malmbergsvagen-9a-2801569089503987314,56-57m²,bostadsratt,2026-07-25T06:03:12.346745
9103674666017284099,https://www.hemnet.se/salda/lagenhet-2rum-slussen-malmo-kommun-malmgatan-16a-9103674666017284099,56-57m²,bostadsratt,2026-07-25T06:03:12.346746
7152030766668869644,https://www.hemnet.se/salda/lagenhet-2rum-vasterhaninge-haninge-kommun-ringvagen-50-7152030766668869644,56-57m²,bostadsratt,2026-07-25T06:03:12.346748
3008904290409721822,https://www.hemnet.se/salda/lagenhet-3rum-orby-stockholms-kommun-gimmerstavagen-6-3008904290409721822,56-57m²,bostadsratt,2026-07-25T06:03:12.346749
