property_id,url,area_range,housing_type,scraped_at
879656,https://www.hemnet.se/salda/lagenhet-5rum-adolfsberg-sodra-lindhult-orebro-kommun-bonstorpsvagen-21-b-879656,121-122m²,bostadsratt,2026-07-27T21:50:16.065830
3953613959218151188,https://www.hemnet.se/salda/lagenhet-5rum-roslunda-kronotorp-angelholms-kommun-irisgatan-4b-3953613959218151188,121-122m²,bostadsratt,2026-07-27T21:50:16.065836
4905307042526673372,https://www.hemnet.se/salda/lagenhet-5rum-ostra-orminge-nacka-kommun-bjorkholmsvagen-233-4905307042526673372,121-122m²,bostadsratt,2026-07-27T21:50:16.065838
984787966092679858,https://www.hemnet.se/salda/lagenhet-4rum-sjolanda-trollhattans-kommun-rabockevagen-984787966092679858,121-122m²,bostadsratt,2026-07-27T21:50:16.065839
3381600634284196763,https://www.hemnet.se/salda/lagenhet-4rum-trelleborg-trelleborgs-kommun-granstorpsgatan-2b-3381600634284196763,121-122m²,bostadsratt,2026-07-27T21:50:16.065840
5990125942441712759,https://www.hemnet.se/salda/lagenhet-5rum-bjorkenas-kalmar-kommun-vita-lammets-vag-102-5990125942441712759,121-122m²,bostadsratt,2026-07-27T21:50:16.065842
7123257226280177479,https://www.hemnet.se/salda/lagenhet-5rum-hagernas-strand-taby-kommun-norra-catalinagrand-37-7123257226280177479,121-122m²,bostadsratt,2026-07-27T21:50:16.065843
89799,"https://www.hemnet.se/salda/lagenhet-5rum-granloholm,-vastra-sundsvalls-kommun-lysekilsvagen-108-89799",121-122m²,bostadsratt,2026-07-27T21:50:16.065845
871738,"https://www.hemnet.se/salda/lagenhet-5rum-varberg-stockholms-kommun-varbergsvagen-173,-5tr-871738",121-122m²,bostadsratt,2026-07-27T21:50:16.065846
3092044182355863285,https://www.hemnet.se/salda/lagenhet-5rum-gimo-osthammars-kommun-algvagen-8-3092044182355863285,121-122m²,bostadsratt,2026-07-27T21:50:16.065848
4387256110634460356,https://www.hemnet.se/salda/lagenhet-5rum-ladugardsangen-orebro-kommun-loggatan-6-4387256110634460356,121-122m²,bostadsratt,2026-07-27T21:50:16.065849
1346893,https://www.hemnet.se/salda/lagenhet-5rum-gryta-vasteras-kommun-syrenvagen-85-1346893,121-122m²,bostadsratt,2026-07-27T21:50:16.065851
1438976,https://www.hemnet.se/salda/lagenhet-4rum-sundby-park-strangnas-kommun-sundbyvagen-36b-1438976,121-122m²,bostadsratt,2026-07-27T21:50:16.065852
4247854740477928536,https://www.hemnet.se/salda/lagenhet-4rum-sorbyangen-orebro-kommun-kumminvagen-28-4247854740477928536,121-122m²,bostadsratt,2026-07-27T21:50:16.065853
253676,https://www.hemnet.se/salda/lagenhet-5rum-ostra-orminge-nacka-kommun-bjorkholmsvagen-233-253676,121-122m²,bostadsratt,2026-07-27T21:50:16.065855
1335641,"https://www.hemnet.se/salda/lagenhet-5rum-gardet-stockholms-kommun-angskarsgatan-6,-4-tr-1335641",121-122m²,bostadsratt,2026-07-27T21:50:16.065856
471619,https://www.hemnet.se/salda/lagenhet-4rum-furulund-partille-kommun-furumossen-63-471619,121-122m²,bostadsratt,2026-07-27T21:50:16.065859
96499,https://www.hemnet.se/salda/lagenhet-5rum-fagersjo-stockholms-kommun-ejdervagen-60-96499,121-122m²,bostadsratt,2026-07-27T21:50:16.065865
1316633,https://www.hemnet.se/salda/lagenhet-5rum-kungalv-kungalvs-kommun-ulvedalsgatan-77-1316633,121-122m²,bostadsratt,2026-07-27T21:50:16.065869
3944028123332962212,https://www.hemnet.se/salda/lagenhet-5rum-roda-hoja-malmo-kommun-hogatorpsvagen-3-3944028123332962212,121-122m²,bostadsratt,2026-07-27T21:50:16.065872
1178644,https://www.hemnet.se/salda/lagenhet-4rum-vasastan-stockholms-kommun-karlbergsvagen-46b-1178644,121-122m²,bostadsratt,2026-07-27T21:50:16.065875
158316,https://www.hemnet.se/salda/lagenhet-4rum-harlosa-eslovs-kommun-avagen-16b-158316,121-122m²,bostadsratt,2026-07-27T21:50:16.065878
2138744602564127791,https://www.hemnet.se/salda/lagenhet-4rum-klockaretorpet-norrkopings-kommun-axel-swartlings-gata-27-2138744602564127791,121-122m²,bostadsratt,2026-07-27T21:50:16.065881
16848062629684088,https://www.hemnet.se/salda/lagenhet-5rum-centrum-kungalv-kungalvs-kommun-brynjegatan-16-16848062629684088,121-122m²,bostadsratt,2026-07-27T21:50:16.065884
1099458266492456872,"https://www.hemnet.se/salda/lagenhet-3,5rum-birkastan-stockholms-kommun-rorstrandsgatan-25,-5-tr-1099458266492456872",121-122m²,bostadsratt,2026-07-27T21:50:16.065886
1192624,https://www.hemnet.se/salda/lagenhet-4rum-saltsjobaden-nacka-kommun-skyttevagen-18e-1192624,121-122m²,bostadsratt,2026-07-27T21:50:16.065889
5013549103355337476,https://www.hemnet.se/salda/lagenhet-4rum-kalgarden-jonkopings-kommun-aspholmsgatan-5-5013549103355337476,121-122m²,bostadsratt,2026-07-27T21:50:16.065891
1277594,https://www.hemnet.se/salda/lagenhet-4rum-nynashamn-nynashamns-kommun-grevgatan-3b-1277594,121-122m²,bostadsratt,2026-07-27T21:50:16.065894
2173814244749213970,https://www.hemnet.se/salda/lagenhet-5rum-savja-uppsala-kommun-gotlandsresan-156-2173814244749213970,121-122m²,bostadsratt,2026-07-27T21:50:16.065918
563583,https://www.hemnet.se/salda/lagenhet-4rum-varvsholmen-kalmar-kommun-utrustningskajen-11-563583,121-122m²,bostadsratt,2026-07-27T21:50:16.065921
7925776729705496495,https://www.hemnet.se/salda/lagenhet-5rum-grebbestad-tanums-kommun-tarnan-3-7925776729705496495,121-122m²,bostadsratt,2026-07-27T21:50:16.065923
