property_id,url,area_range,housing_type,scraped_at
8920706342643431694,"https://www.hemnet.se/salda/lagenhet-2rum-enskededalen-stockholms-kommun-hallovagen-13,-van-2-8920706342643431694",45-46m²,bostadsratt,2026-09-02T19:15:32.826596
3097649661390430676,https://www.hemnet.se/salda/lagenhet-2rum-midsommarkransen-telefonplan-stockholms-kommun-tellusborgsvagen-62-3097649661390430676,45-46m²,bostadsratt,2026-09-02T19:15:32.826603
559011794733447701,https://www.hemnet.se/salda/lagenhet-2rum-fredslyckan-lunds-kommun-parternas-grand-43-559011794733447701,45-46m²,bostadsratt,2026-09-02T19:15:32.826604
236590232307950746,https://www.hemnet.se/salda/lagenhet-2rum-s-t-knut-malmo-kommun-disponentgatan-27-236590232307950746,45-46m²,bostadsratt,2026-09-02T19:15:32.826605
8236535485114784519,https://www.hemnet.se/salda/lagenhet-2rum-midsommarkransen-stockholms-kommun-vattenledningsvagen-81-8236535485114784519,45-46m²,bostadsratt,2026-09-02T19:15:32.826608
1694451737161746136,https://www.hemnet.se/salda/lagenhet-2rum-saltsjoqvarn-nacka-kommun-mannagrynstorget-1-1694451737161746136,45-46m²,bostadsratt,2026-09-02T19:15:32.826609
4321919566900138296,https://www.hemnet.se/salda/lagenhet-2rum-rasunda-solna-kommun-lovgatan-55-4321919566900138296,45-46m²,bostadsratt,2026-09-02T19:15:32.826610
3590063842219686901,https://www.hemnet.se/salda/lagenhet-2rum-nya-hovas-goteborgs-kommun-bjorklundavagen-4-3590063842219686901,45-46m²,bostadsratt,2026-09-02T19:15:32.826613
8025742010058881311,https://www.hemnet.se/salda/lagenhet-2rum-vasastaden-goteborgs-kommun-vastergatan-6a-8025742010058881311,45-46m²,bostadsratt,2026-09-02T19:15:32.826614
5583741590627969572,"https://www.hemnet.se/salda/lagenhet-2rum-telefonplan-midsommarkransen-stockholms-kommun-responsgatan-14,-van-5-5583741590627969572",45-46m²,bostadsratt,2026-09-02T19:15:32.826615
565423191815117986,https://www.hemnet.se/salda/lagenhet-2rum-norra-sorgenfri-malmo-kommun-ostra-farmvagen-19ba-565423191815117986,45-46m²,bostadsratt,2026-09-02T19:15:32.826619
7542549822568697715,https://www.hemnet.se/salda/lagenhet-2rum-lindholmen-goteborgs-kommun-arbetaregatan-2-7542549822568697715,45-46m²,bostadsratt,2026-09-02T19:15:32.826622
6319845870574737799,https://www.hemnet.se/salda/lagenhet-2rum-alvsjo-stockholms-kommun-langsjovagen-130-6319845870574737799,45-46m²,bostadsratt,2026-09-02T19:15:32.826623
2283760848087583920,https://www.hemnet.se/salda/lagenhet-2rum-brotorp-jarvastaden-sundbybergs-kommun-brogatan-18-2283760848087583920,45-46m²,bostadsratt,2026-09-02T19:15:32.826625
9132629480595766337,https://www.hemnet.se/salda/lagenhet-2rum-kista-stockholms-kommun-sorogatan-15-9132629480595766337,45-46m²,bostadsratt,2026-09-02T19:15:32.826626
7262890333420806246,https://www.hemnet.se/salda/lagenhet-2rum-vasastan-stockholms-kommun-vanadisvagen-25-7262890333420806246,45-46m²,bostadsratt,2026-09-02T19:15:32.826627
6503019834004259728,https://www.hemnet.se/salda/lagenhet-2rum-igelstavik-sodertalje-kommun-angbatsvagen-4-6503019834004259728,45-46m²,bostadsratt,2026-09-02T19:15:32.826628
3166980949664885425,https://www.hemnet.se/salda/lagenhet-2rum-ellstorp-malmo-kommun-sallerupsvagen-28-b-3166980949664885425,45-46m²,bostadsratt,2026-09-02T19:15:32.826629
