url,error
"https://www.hemnet.se/bostad/radhus-4rum-pihlangen-staffanstorps-kommun-kryddortsvagen,-hjarup-21272368",No data returned
https://www.hemnet.se/bostad/lagenhet-2rum-lunds-kommun-rallaregatan-21589252,No data returned
https://www.hemnet.se/bostad/radhus-4rum-pihlangen-staffanstorps-kommun-kryddortsvagen-21489709,No data returned
https://www.hemnet.se/bostad/radhus-5rum-tygelsjo-vaster-malmo-kommun-gulklintsgatan-21401007,No data returned
https://www.hemnet.se/bostad/radhus-4rum-vellinge-parkby-vellinge-kommun-enbarsgatan-1-21573420,No data returned
https://www.hemnet.se/bostad/lagenhet-4rum-oster-vaxjo-kommun-alpgatan-21296798,No data returned
https://www.hemnet.se/bostad/radhus-5rum-torsviken-norrkopings-kommun-korvelvagen-10-19855664,No data returned
https://www.hemnet.se/bostad/tomt-langviken-umea-kommun-yttre-langviken-142-21312377,No data returned
https://www.hemnet.se/bostad/tomt-langviken-umea-kommun-yttre-langviken-136-21312375,No data returned
https://www.hemnet.se/bostad/lagenhet-3rum-kviberg-goteborgs-kommun-lilla-regementsvagen-51-21647633,No data returned
