url,error
https://www.hemnet.se/bostad/lagenhet-1rum-kongahalla-kungalvs-kommun-torpe-grand-1-21474229,No data returned
https://www.hemnet.se/bostad/lagenhet-3rum-kongahalla-kungalvs-kommun-hansagatan-5-21416335,No data returned
https://www.hemnet.se/bostad/lagenhet-1rum-sodra-toltorp-molndals-kommun-bifrostgatan-14-20651115,No data returned
https://www.hemnet.se/bostad/lagenhet-3rum-sodra-toltorp-molndals-kommun-bifrostgatan-12-20651016,No data returned
https://www.hemnet.se/bostad/lagenhet-2rum-kongahalla-kungalvs-kommun-hansagatan-7-21607255,No data returned
https://www.hemnet.se/bostad/lagenhet-3rum-brunnshog-lunds-kommun-vetenskapsgatan-21666669,No data returned
https://www.hemnet.se/bostad/lagenhet-3rum-huvudsta-strandpark-solna-kommun-blockstensgatan-4-21494437,No data returned
https://www.hemnet.se/bostad/lagenhet-2rum-huvudsta-strandpark-solna-kommun-blockstensgatan-10-21426534,No data returned
https://www.hemnet.se/bostad/lagenhet-2rum-dockan-malmo-kommun-dockplatsen-5-19294261,No data returned
https://www.hemnet.se/bostad/lagenhet-2rum-huvudsta-strandpark-solna-kommun-blockstensgatan-4-21624161,No data returned
