url,error
https://www.hemnet.se/bostad/lagenhet-2rum-norrtalje-hamn-norrtalje-kommun-pilgatan-2-21110875,No data returned
https://www.hemnet.se/bostad/lagenhet-1rum-norrtalje-hamn-norrtalje-kommun-pilgatan-2-21593425,No data returned
https://www.hemnet.se/bostad/lagenhet-4rum-goteborgs-kommun-gotaverksgatan-9-21345089,No data returned
https://www.hemnet.se/bostad/lagenhet-2rum-varvsstaden-malmo-kommun-skeppsgatan-6c-21398007,No data returned
https://www.hemnet.se/bostad/lagenhet-3rum-edshult-leksands-kommun-edshultsvagen-29-21653286,No data returned
https://www.hemnet.se/bostad/lagenhet-3rum-centrum-strangnas-kommun-stabsvagen-7b-21612404,No data returned
https://www.hemnet.se/bostad/lagenhet-3rum-oster-orebro-kommun-formansgatan-16-18704879,No data returned
https://www.hemnet.se/bostad/lagenhet-3rum-vaster-landskrona-kommun-italiengatan-17b-18285577,No data returned
