url,error
"https://www.hemnet.se/bostad/lagenhet-1,5rum-falhagen-uppsala-kommun-botvidsgatan-16a-21571029",No data returned
https://www.hemnet.se/bostad/lagenhet-2rum-soder-eskilstuna-kommun-lohegatan-31a-21573154,No data returned
https://www.hemnet.se/bostad/lagenhet-1rum-svartbacken-uppsala-kommun-gamla-uppsalagatan-20-21568286,No data returned
https://www.hemnet.se/bostad/lagenhet-1rum-centralt-linkopings-kommun-linnegatan-7-21576039,No data returned
https://www.hemnet.se/bostad/lagenhet-2rum-slottstaden-malmo-kommun-kopenhamnsvagen-41c-21574143,No data returned
https://www.hemnet.se/bostad/lagenhet-1rum-dockan-vastra-hamnen-city-malmo-kommun-dockplatsen-5-21577036,No data returned
https://www.hemnet.se/bostad/lagenhet-3rum-lomma-lomma-kommun-hojeagatan-219-21577899,No data returned
https://www.hemnet.se/bostad/lagenhet-2rum-nya-hovas-goteborgs-kommun-hedtangsvagen-31a-21579677,No data returned
https://www.hemnet.se/bostad/lagenhet-3rum-huvudsta-solna-kommun-slaggbacken-5-21581062,No data returned
https://www.hemnet.se/bostad/lagenhet-1rum-sommarlust-kristianstads-kommun-oxhagsvagen-23-21581363,No data returned
