url,error
https://www.hemnet.se/bostad/lagenhet-4rum-lottingelund-taby-kommun-lottingelundsvagen-90-21546997,No data returned
https://www.hemnet.se/bostad/lagenhet-5rum-soderhamns-kommun-humlegardsgatan-4a-21548094,No data returned
https://www.hemnet.se/bostad/lagenhet-2rum-eneborg-helsingborgs-kommun-faktorsgatan-3a-21550991,No data returned
https://www.hemnet.se/bostad/lagenhet-2rum-ostervarn-varnhem-malmo-kommun-sallerupsvagen-18a-21551666,No data returned
https://www.hemnet.se/bostad/lagenhet-1rum-falhagen-uppsala-kommun-oxelgatan-17-21552320,No data returned
https://www.hemnet.se/bostad/lagenhet-3rum-sjolunda-lidkopings-kommun-portvaktsvagen-1f-21556587,No data returned
https://www.hemnet.se/bostad/lagenhet-2rum-skiftinge-eskilstuna-kommun-karl-hovbergsgatan-31b-21525106,No data returned
https://www.hemnet.se/bostad/lagenhet-1rum-mariehall-stockholms-kommun-solbergsvagen-45-21516528,No data returned
https://www.hemnet.se/bostad/lagenhet-3rum-sodra-ekkallan-linkopings-kommun-rotegatan-8-21561187,No data returned
https://www.hemnet.se/bostad/radhus-5rum-broby-soderkopings-kommun-tornvagen-26-21682178,No data returned
